id,date,contact,description,cash Check CC,check Number,account,debit Amount,credit Amount,ref Number,type
1,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,0.00,2.76,69,Inventory
2,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,2.76,0.00,69,Inventory
3,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,6.18,0.00,78,Inventory
4,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,0.00,6.18,78,Inventory
5,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,0.00,12.36,78,Inventory
6,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,12.36,0.00,78,Inventory
7,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,12.36,0.00,78,Inventory
8,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,0.00,12.36,78,Inventory
9,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,0.00,11.04,69,Inventory
10,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,11.04,0.00,69,Inventory
13,2021-05-29,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,11.04,0.00,69,Inventory
14,2021-05-29,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,0.00,11.04,69,Inventory
17,2021-05-29,,Edit Inventory Item - Caridwen 1.5 oz,none,0,120.0 - Inventory,9.00,0.00,7,Inventory
18,2021-05-29,,Edit Inventory Item - Caridwen 1.5 oz,none,0,400.3 - Inventory Adj,0.00,9.00,7,Inventory
19,2021-05-29,,Edit Inventory Item - Iduna  1.5 oz,none,0,120.0 - Inventory,3.21,0.00,106,Inventory
20,2021-05-29,,Edit Inventory Item - Iduna  1.5 oz,none,0,400.3 - Inventory Adj,0.00,3.21,106,Inventory
21,2021-05-29,,Edit Inventory Item - Ceridwin 1.5 oz,none,0,120.0 - Inventory,0.00,20.50,105,Inventory
22,2021-05-29,,Edit Inventory Item - Ceridwin 1.5 oz,none,0,400.3 - Inventory Adj,20.50,0.00,105,Inventory
25,2021-05-29,,Edit Inventory Item - deleteIduna 1.5 oz,none,0,120.0 - Inventory,0.00,3.11,20,Inventory
26,2021-05-29,,Edit Inventory Item - deleteIduna 1.5 oz,none,0,400.3 - Inventory Adj,3.11,0.00,20,Inventory
27,2021-05-30,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,0.00,23.68,69,Inventory
28,2021-05-30,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,23.68,0.00,69,Inventory
29,2021-05-30,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,17.76,0.00,69,Inventory
30,2021-05-30,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,0.00,17.76,69,Inventory
31,2021-05-30,,Recipe Creation - Labor,none,0,120.0 - Inventory,0.00,0.00,34,Recipe
32,2021-05-30,,Recipe Creation - Labor,none,0,220.0 - Labor Production,0.00,0.00,34,Recipe
33,2021-05-30,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,0.00,13.38,78,Inventory
34,2021-05-30,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,13.38,0.00,78,Inventory
35,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,11.54,0.00,91,Inventory
36,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,11.54,91,Inventory
37,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,1.80,11,Inventory
38,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,1.80,0.00,11,Inventory
39,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,9.32,32,Inventory
40,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,9.32,0.00,32,Inventory
41,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,10.37,35,Inventory
42,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,10.37,0.00,35,Inventory
43,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.52,40,Inventory
44,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.52,0.00,40,Inventory
45,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,21.24,51,Inventory
46,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,21.24,0.00,51,Inventory
47,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,3.60,10,Inventory
48,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,3.60,0.00,10,Inventory
49,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,0.00,64,Inventory
50,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,0.00,64,Inventory
51,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,5.00,22,Inventory
52,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,5.00,0.00,22,Inventory
53,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.00,42,Inventory
54,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.00,0.00,42,Inventory
57,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,26.82,0.00,58,Inventory
58,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,26.82,58,Inventory
59,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,2.00,0.00,92,Inventory
60,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.00,92,Inventory
61,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,1.00,93,Inventory
62,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,1.00,0.00,93,Inventory
63,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,2.88,0.00,5,Inventory
64,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.88,5,Inventory
65,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,2.90,0.00,53,Inventory
66,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.90,53,Inventory
67,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.55,63,Inventory
68,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.55,0.00,63,Inventory
69,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,5.90,88,Inventory
70,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,5.90,0.00,88,Inventory
71,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,5.90,0.00,88,Inventory
72,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,5.90,88,Inventory
73,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.88,5,Inventory
74,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.88,0.00,5,Inventory
75,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.90,53,Inventory
76,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.90,0.00,53,Inventory
77,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,2.55,0.00,63,Inventory
78,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.55,63,Inventory
79,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,5.00,0.00,22,Inventory
80,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,5.00,22,Inventory
81,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,2.00,0.00,42,Inventory
82,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.00,42,Inventory
85,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,26.82,58,Inventory
86,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,26.82,0.00,58,Inventory
87,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.00,92,Inventory
88,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.00,0.00,92,Inventory
89,2021-05-31,,Edit Inventory Item,none,0,120.0 - Inventory,1.00,0.00,93,Inventory
90,2021-05-31,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,1.00,93,Inventory
120,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,5.90,88,Inventory
121,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,5.90,0.00,88,Inventory
122,2021-06-02,,Add Inventory Item - Mullien Infusion,none,0,120.0 - Inventory,3.60,0.00,117,Inventory
123,2021-06-02,,Add Inventory Item - Mullien Infusion,none,0,400.3 - Inventory Adj,0.00,3.60,117,Inventory
124,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,7.52,3,Inventory
125,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,7.52,0.00,3,Inventory
126,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,5.00,22,Inventory
127,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,5.00,0.00,22,Inventory
128,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.00,42,Inventory
129,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.00,0.00,42,Inventory
132,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,26.82,0.00,58,Inventory
133,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,26.82,58,Inventory
134,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,2.00,0.00,92,Inventory
135,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.00,92,Inventory
136,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,1.00,93,Inventory
137,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,1.00,0.00,93,Inventory
138,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,2.88,0.00,5,Inventory
139,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.88,5,Inventory
140,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,2.90,0.00,53,Inventory
141,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.90,53,Inventory
142,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.55,63,Inventory
143,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.55,0.00,63,Inventory
144,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.88,5,Inventory
145,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.88,0.00,5,Inventory
146,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.90,53,Inventory
147,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.90,0.00,53,Inventory
148,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,2.55,0.00,63,Inventory
149,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,0.00,2.55,63,Inventory
150,2021-06-02,,Edit Inventory Item,none,0,120.0 - Inventory,0.00,2.55,63,Inventory
151,2021-06-02,,Edit Inventory Item,none,0,400.3 - Inventory Adj,2.55,0.00,63,Inventory
168,2021-06-02,,Bank Deposit,none,0,101.0 - Cash Drawer,0.00,7.67,24,Cash
169,2021-06-02,,Bank Deposit,none,0,101.1 - Petty Cash,7.67,0.00,24,Cash
178,2021-06-05,Farmers Mkt,Sales Receipt,none,0,101.0 - Cash Drawer,35.00,0.00,34,Sales
179,2021-06-05,Farmers Mkt,Sales Receipt,none,0,400.1 - Revenue,0.00,35.00,34,Sales
180,2021-06-05,Farmers Mkt,Sales Receipt,none,0,120.0 - Inventory,0.00,13.24,34,Sales
181,2021-06-05,Farmers Mkt,Sales Receipt,none,0,400.6 - Inventory COS,13.24,0.00,34,Sales
182,2021-06-05,,Bank Deposit,none,0,101.0 - Cash Drawer,0.00,103.00,23,Cash
183,2021-06-05,,Bank Deposit,none,0,101.1 - Petty Cash,103.00,0.00,23,Cash
187,2021-06-05,Farmers Mkt,fees and taxes,none,0,101.1 - Petty Cash,0.00,5.10,21,Cash
188,2021-06-05,Farmers Mkt,fees and taxes,none,0,400.7 - Fees COS,5.10,0.00,21,Cash
226,2021-06-05,Bank West,Jason rent,none,0,420.1 - Rent Income,0.00,350.00,4,General
227,2021-06-05,Bank West,Mtg pmnt,none,0,230.1 - BankWest Mtg Loan,700.00,0.00,4,General
228,2021-06-05,Bank West,Western bank ck,none,0,101.2 - Western State Bank - Checking,0.00,350.00,4,General
239,2021-06-13,Farmers Mkt,gas,none,0,101.2 - Western State Bank - Checking,0.00,20.01,30,Cash
240,2021-06-13,Farmers Mkt,gas,none,0,530.2 - Gas,20.01,0.00,30,Cash
241,2021-06-12,Farmers Mkt,Sales Receipt,Cash,0,101.0 - Cash Drawer,30.00,0.00,36,Sales
242,2021-06-12,Farmers Mkt,Sales Receipt,Cash,0,400.1 - Revenue,0.00,30.00,36,Sales
243,2021-06-12,Farmers Mkt,Sales Receipt,Cash,0,120.0 - Inventory,0.00,9.00,36,Sales
244,2021-06-12,Farmers Mkt,Sales Receipt,Cash,0,400.6 - Inventory COS,9.00,0.00,36,Sales
270,2021-06-16,Bank West,Mtg loan as of 060121,none,0,230.1 - BankWest Mtg Loan,0.00,29014.22,7,General
271,2021-06-16,Bank West,Mtg loan as of 060121,none,0,300.1 - Pre period adjustments,29014.22,0.00,7,General
274,2021-06-18,,Edit Inventory Item - Caridwen 1.5 oz,none,0,120.0 - Inventory,0.00,8.50,7,Inventory
275,2021-06-18,,Edit Inventory Item - Caridwen 1.5 oz,none,0,400.3 - Inventory Adj,8.50,0.00,7,Inventory
276,2021-06-19,Farmers Mkt,Sales Receipt,Cash,0,101.0 - Cash Drawer,76.00,0.00,37,Sales
277,2021-06-19,Farmers Mkt,Sales Receipt,Cash,0,400.1 - Revenue,0.00,80.00,37,Sales
278,2021-06-19,Farmers Mkt,Sales Receipt,Cash,0,400.5 - Discounts,4.00,0.00,37,Sales
279,2021-06-19,Farmers Mkt,Sales Receipt,Cash,0,120.0 - Inventory,0.00,24.83,37,Sales
280,2021-06-19,Farmers Mkt,Sales Receipt,Cash,0,400.6 - Inventory COS,24.83,0.00,37,Sales
301,2021-06-25,,Edit Inventory Item - Almond Oil Sweet 1/2 Oz,none,0,120.0 - Inventory,2.90,0.00,53,Inventory
302,2021-06-25,,Edit Inventory Item - Almond Oil Sweet 1/2 Oz,none,0,400.3 - Inventory Adj,0.00,2.90,53,Inventory
303,2021-06-25,,Edit Inventory Item - Basil Oil 1/2 oz,none,0,120.0 - Inventory,2.88,0.00,5,Inventory
304,2021-06-25,,Edit Inventory Item - Basil Oil 1/2 oz,none,0,400.3 - Inventory Adj,0.00,2.88,5,Inventory
305,2021-06-25,,Edit Inventory Item - Lemon Oil 1/2 oz,none,0,120.0 - Inventory,0.00,4.75,80,Inventory
306,2021-06-25,,Edit Inventory Item - Lemon Oil 1/2 oz,none,0,400.3 - Inventory Adj,4.75,0.00,80,Inventory
307,2021-06-26,Farmers Mkt,Sales Receipt,Cash,0,101.0 - Cash Drawer,10.00,0.00,38,Sales
308,2021-06-26,Farmers Mkt,Sales Receipt,Cash,0,400.1 - Revenue,0.00,10.00,38,Sales
309,2021-06-26,Farmers Mkt,Sales Receipt,Cash,0,120.0 - Inventory,0.00,2.30,38,Sales
310,2021-06-26,Farmers Mkt,Sales Receipt,Cash,0,400.6 - Inventory COS,2.30,0.00,38,Sales
311,2021-07-02,,Add Inventory Item - Flax seed Oil 1/2 oz,none,0,120.0 - Inventory,2.50,0.00,119,Inventory
312,2021-07-02,,Add Inventory Item - Flax seed Oil 1/2 oz,none,0,400.3 - Inventory Adj,0.00,2.50,119,Inventory
313,2021-07-02,Ariel,Sales Receipt,Cash,0,101.0 - Cash Drawer,16.00,0.00,39,Sales
314,2021-07-02,Ariel,Sales Receipt,Cash,0,400.1 - Revenue,0.00,16.00,39,Sales
315,2021-07-02,Ariel,Sales Receipt,Cash,0,120.0 - Inventory,0.00,3.19,39,Sales
316,2021-07-02,Ariel,Sales Receipt,Cash,0,400.6 - Inventory COS,3.19,0.00,39,Sales
327,2021-07-03,Farmers Mkt,fees,none,0,101.1 - Petty Cash,0.00,3.75,37,Cash
328,2021-07-03,Farmers Mkt,fees,none,0,400.7 - Fees COS,3.75,0.00,37,Cash
329,2021-06-22,Mountain Rose Herbs,Purchasing Receipt,none,0,120.0 - Inventory,63.93,0.00,19,Purchasing
330,2021-06-22,Mountain Rose Herbs,Purchasing Receipt,none,0,101.2 - Western State Bank - Checking,0.00,63.93,19,Purchasing
340,2021-07-06,Thrive Mkt,crackers,none,0,101.2 - Western State Bank - Checking,0.00,61.24,38,Cash
341,2021-07-06,Thrive Mkt,crackers,none,0,530.9 - Household,61.24,0.00,38,Cash
350,2021-06-01,Vision Source,glasses,none,0,101.2 - Western State Bank - Checking,0.00,224.50,41,Cash
351,2021-06-01,Vision Source,glasses,none,0,530.3 - Medical Exps,224.50,0.00,41,Cash
352,2021-06-03,social security,ss,none,0,101.2 - Western State Bank - Checking,954.00,0.00,42,Cash
353,2021-06-03,social security,ss,none,0,410.0 - Social Security pmnt,0.00,954.00,42,Cash
356,2021-06-03,Jason's Computer,acct package,none,0,101.2 - Western State Bank - Checking,0.00,25.00,44,Cash
357,2021-06-03,Jason's Computer,acct package,none,0,400.7 - Fees COS,25.00,0.00,44,Cash
358,2021-06-04,St Francis Supers,food,none,0,101.2 - Western State Bank - Checking,0.00,40.55,45,Cash
359,2021-06-04,St Francis Supers,food,none,0,530.9 - Household,40.55,0.00,45,Cash
360,2021-06-04,Savings,monthly transfer,none,0,101.2 - Western State Bank - Checking,0.00,56.00,46,Cash
361,2021-06-04,Savings,monthly transfer,none,0,101.3 - Western St Bank - Savings,56.00,0.00,46,Cash
362,2021-06-08,Aetna Health Ins,health ins,none,0,101.2 - Western State Bank - Checking,0.00,102.38,47,Cash
363,2021-06-08,Aetna Health Ins,health ins,none,0,530.3 - Medical Exps,102.38,0.00,47,Cash
364,2021-06-14,St Francis Supers,food,none,0,101.2 - Western State Bank - Checking,0.00,12.00,48,Cash
365,2021-06-14,St Francis Supers,food,none,0,530.9 - Household,12.00,0.00,48,Cash
366,2021-06-16,Sounds True,recording,none,0,101.2 - Western State Bank - Checking,0.00,39.18,49,Cash
367,2021-06-16,Sounds True,recording,none,0,530.9 - Household,39.18,0.00,49,Cash
370,2021-06-23,SWTOR,starwars - paypal,none,0,101.2 - Western State Bank - Checking,0.00,16.41,51,Cash
371,2021-06-23,SWTOR,starwars - paypal,none,0,530.9 - Household,16.41,0.00,51,Cash
372,2021-06-30,Western State Bank,fee,none,0,101.2 - Western State Bank - Checking,0.00,3.50,52,Cash
373,2021-06-30,Western State Bank,fee,none,0,530.9 - Household,3.50,0.00,52,Cash
374,2021-07-02,social security,ss,none,0,101.2 - Western State Bank - Checking,954.00,0.00,53,Cash
375,2021-07-02,social security,ss,none,0,410.0 - Social Security pmnt,0.00,954.00,53,Cash
376,2021-07-02,Savings,monthly transfer,none,0,101.2 - Western State Bank - Checking,0.00,56.00,54,Cash
377,2021-07-02,Savings,monthly transfer,none,0,101.3 - Western St Bank - Savings,56.00,0.00,54,Cash
378,2021-07-06,St Francis Supers,food,none,0,101.2 - Western State Bank - Checking,0.00,47.32,55,Cash
379,2021-07-06,St Francis Supers,food,none,0,530.9 - Household,47.32,0.00,55,Cash
382,2021-07-08,Aetna Health Ins,health ins,none,0,101.2 - Western State Bank - Checking,0.00,102.38,56,Cash
383,2021-07-08,Aetna Health Ins,health ins,none,0,530.3 - Medical Exps,102.38,0.00,56,Cash
386,2021-07-08,Jason Padgett,Jason rent,none,0,420.1 - Rent Income,0.00,350.00,8,General
387,2021-07-08,Jason Padgett,Mtg pmnt,none,0,230.1 - BankWest Mtg Loan,350.00,0.00,8,General
388,2021-07-08,Bank West,Loan mtg,none,1219,101.2 - Western State Bank - Checking,0.00,350.00,58,Cash
389,2021-07-08,Bank West,Loan mtg,none,1219,230.1 - BankWest Mtg Loan,350.00,0.00,58,Cash
400,2021-06-22,St Francis Supers,food,none,0,101.2 - Western State Bank - Checking,0.00,20.23,40,Cash
401,2021-06-22,St Francis Supers,food,none,0,530.9 - Household,20.23,0.00,40,Cash
404,2021-06-15,Owens hardware,lawn mower,none,0,101.2 - Western State Bank - Checking,0.00,317.54,59,Cash
405,2021-06-15,Owens hardware,lawn mower,none,0,530.9 - Household,317.54,0.00,59,Cash
406,2021-07-09,canon,ink,none,0,101.2 - Western State Bank - Checking,0.00,59.11,60,Cash
407,2021-07-09,canon,ink,none,0,400.2 - Shipping COS,59.11,0.00,60,Cash
408,2021-07-09,Webstaurant,Purchasing Receipt,none,0,120.0 - Inventory,52.51,0.00,20,Purchasing
409,2021-07-09,Webstaurant,Purchasing Receipt,none,0,101.2 - Western State Bank - Checking,0.00,52.51,20,Purchasing
410,2021-07-09,,Edit Inventory Item - Wisks mini,none,0,120.0 - Inventory,0.00,20.72,175,Inventory
411,2021-07-09,,Edit Inventory Item - Wisks mini,none,0,400.3 - Inventory Adj,20.72,0.00,175,Inventory
412,2021-07-09,,Edit Inventory Item - DeGreaser,none,0,120.0 - Inventory,0.00,2.95,88,Inventory
